sourcil,眉
marronnier,マロニエ（セイヨウトチノキ）
platane,プラタヌス　スズカケノキ
tilleul,菩提樹
nuage,雲
éclair,稲妻　雷光
orage,雷雨　夕立
cyclone,暴風雨
brouillard,霧　もや
vent,風
neiger,雪が降る
givre,霧氷　下
glace,氷
se glacer,凍る
frais/fraîche,涼しい
sec/séche,乾燥した　雨のない
pression,気圧
réchauffement,暖かくなること
serre,温室
marée,潮
sauvage,野生の
espèce,（生物の）種
réglementation,規制
récupérer,回収する
détruire,破壊する
nuisances,公害
nuisible,有害な
bruit,騒音
déchet,廃棄物
ordures,ごみ
rejet,投棄
chimique,化学の
cancérogène,発がん性の
timbre,切手
recommadé,書留
P.C.V,コレクトコール
journal,新聞
revue,雑誌
rédaction,編集
imprimer,印刷する
affichage,ディスプレイ
touche,（キーボードの）キー
souris,マウス
traitement,処理　プロセス
donnée,データ
disquette,フロッピーディスク
simuler,シミュレーションを行う
télématique,情報通信
câble,ケーブル
télécopie,ファックス
serveur,サーバ
brevet,特許
essai,試験
livrer,配達する
camion,トラック
chariot,カート
charger,荷を積む
décharger,荷を降ろす
passager/passagère,（飛行機・船の）乗客
voyageur/voyageuse,（列車の）乗客
comple/complète,満員の
circulation,交通
embouteillage,交通渋滞
piéton,歩行者
trottoir,歩道
routier/routière,道路の
autoroute,高速道路
voie,道路　車線
sens,方向
virage,カーブ
doubler,追い越す
feu ,信号
carrefour,交差点
plan,（街などの）地図
chemin de fer,鉄道
quai,プラットフォーム
guichet,窓口
composter,自動改札機で穴を開ける
chauffeur,運転手
vitesse,速度　スピード
stationnement,駐車
parking,駐車場　パーキング
garer,駐車させる
essence,ガソリン
moteur,エンジン
frein,ブレーキ
pneu,タイヤ
volant,ハンドル
panne,故障
décoller,離陸する
aterrir,着陸する
paquebot,客船
voilier,ヨット
ruine,遺跡　廃墟
métier,職業
profession,職業
ouvrier/ouvrière,労働者
main-d'œuvre,労働者、労働力
horaire,スケジュール
congé,休暇
promouvoir,昇進させる
démission,辞職
retraite,退職
licencier,解雇する
chômage,失業
syndicat,組合
grève,ストライキ
patron,経営者
société,会社、社会
usine,工場
siège,本拠地
contrat,契約
réunion,会議
commande,注文　
marchandise,商品
cadres,管理職　エグゼクティブ
collègue,同僚
consommation,消費
monnaie,通貨　貨幣
marché,市場
investir,投資
bénéfice,利益　利潤
excédent,超過　黒字
déficit,赤字
coût,コスト　経費
détail,小売り、詳細
gros,卸
affaires,ビジネス　商売
diriger,経営する　運営する
agricole,農業の
culture,栽培、耕作
pêche,漁業、漁 / 桃
matière,材料　素材
manière,仕方　やり方
centrale,発電所
pétrole,石油
boycottage,ボイコット
libéralisation,自由化
verser,払い込む
économies,貯金
compte,口座　勘定
déposer,預ける
retirer,引き出す
intérêt,利子
taux,年利率　率
chèque,小切手
change,両替　為替
changer,両替する　くずす
crédit,信用販売　貸方
somme,金額　総額
dépense,支出　出費
dette,借金　負債　
taxe,税金
taxer,課税する
détaxer,免税にする
impôt,税　
imposer,課税する　課する
fiscal,税務の
fisc,税務署
contribuable,納税者
douane,税関　関税
déclarer,申告する　届け出る
retenue,天引き
abattement,控除
revenu,所得
action,株　株式
actionnaire,株主
valeur,有価証券　株券
titre,証券　株券
cours,株価　相場
cote,相場
coté,上場された
Bourse,証券取引所　株式相場
boursier/boursière,証券取引の / 株式仲買人
indice,指数
effondrement,暴落
hausse,値上がり
baisse,値下がり
spéculation,投機、思惑
investisseur/investisseuse,投資家
ordre,注文、命令
dividende,配当金
rendement,利回り
emprunt,国債　公債
obligation,債券　社債
dérivé,二次製品
loisir,余暇　レジャー
passe-temps,暇つぶし　趣味
se distraire,気晴らしをする
se promener,散歩する
randonnée,ハイキング
camper,キャンプをする
bain,水浴
croisière,クルージング
jardinage,庭いじり　ガーデニング
tricot,編み物
lecture,読書
échecs,チェス
cartes,トランプ
cirque,サーカス
règle,ルール
athlétisme,陸上競技
nager,泳ぐ
patinage,スケート
jeu,競技
match,試合
équipe,チーム
gagner,勝つ
coupe,優勝杯
médaille,メダル
stade,スタジアム
gymnase,体育館　ジム
coutume,慣習　風習
histoire,歴史
institution,制度
peuple,人々
chrétien,キリスト教の
juif/juive,ユダヤ人の　ユダヤ教徒の
musulman,イスラム教徒の　ムスリム
bouddhiste,仏教徒の　仏教徒
église,教会
temple,神殿　寺院
pape,教皇
baptême,洗礼
messe,ミサ
foi,信仰
prier,祈る
âme,魂
ange,天使
athéisme,無神論
peinture,絵画
peindre,絵を描く
dessiner,デッサンする
tableau,絵、表
peinture à l'huile,油絵
sculpture,彫刻
galerie,画廊　ギャラリー
rôle,役
scène,舞台　場面
matinée,昼の部　マチネー
littérature,文学
littéraire,文学の
lettres,文学
écrivain,作家
chef-d'œuvre,傑作
œuvre,作品
roman,小説
pièce,戯曲　作品　
poème,詩　
histoire,話
biographie,伝記
conte,短編小説　短い物語
pellicule,フィルム
collège,中学校
élève,生徒
enseignant,教員
matière,教科
devoir,宿題
enseignement,教育
spécialité,専門　専攻
se spécialiser en,〜を専攻する
connaissaces,知識
étude,勉強　研究
étudier,勉強する　学ぶ
note,点数　成績
bourse,奨学金
diplôme,免状　卒業証書
alphabétisation,識字能力
papeterie,文房具店　文房具
cahier,ノート
crayon,鉛筆
stylo,万年筆　ペン
portemine,シャープペン
stylo-bille,ボールペン
feutre,フェルトペン
gomme,消しゴム
correcteur,修正液
colle,糊　接着剤
ruban adhésif,粘着テープ
agrafeuse,ホッチキス
trombone,クリップ
punaise,画鋲
ciseaux,はさみ
règle,定規　ものさし
presque,ほとんど
rarement,めったに〜ない
entièrement,全く
etrêmement,極めて
assez,十分、かなり
à peine,ほとんど〜ない
généralement,たいてい、普通
à peu près,だいたい、およそ
environ,およそ
tellement,とても、それほど
légèrement,軽く、わずかに
davantage,より以上に
plutôt,むしろ
bref,要するに
même si,たとえ〜でも
partout,いたるところに
tout à coup,突然、急に
heureusement,幸運にも
lentement,ゆっくり
enfin,ついに、最後に
sans cesse,絶えず、休みなく
un de ces jours,近日中に
bientôt,まもなく
tout de suite,すぐに
récemment,最近
ces temps-ci,最近では
tout à l'heure,ついさっき、もうすぐ
éternellement,永遠に、いつまでも
dedans,中に、中で
derrière,〜の後ろに
autour de ,〜のまわりに
à travers,横切って、通して
pourtant,それでも
mesure,寸法
mesurer,はかる、長さがある
longueur,長さ
largeur,幅
hauteur,高さ
peser,重さをはかる、重さがある
douzaine,1ダース
ailleurs,他の場所で
fait,事実、事柄
sorte,種類　
occasion,機会
hasard,偶然
chance,運、幸運
individu,個人
départment,県
région,地域、地域圏（数県から成る）
arrondissement,区
quartier,（都市の）地区、界隈
ville,都市、都会
cité,都市、都
banlieue,郊外
député,代議士、下院議員
assemblée,議会、会議
Sénat,（フランスの）上院、元老院
Parlement,国会
préfet,（フランスの）知事
maire,市長　町長　村長　区長
conseil,会議　議会
loi,法　法律
convoquer,召集する
manefestation,デモ
élire,選挙で選ぶ
élu,選挙で選ばれた
électeur,有権者
suffrage,選挙　票
circonscription,区域
voix,表
urne,投票箱
bulletin,投票用紙
abstention,棄権
siège,議席
quête,募金
âgé,高齢の
faible,弱い
conduite,運転　操縦
se conduire,振る舞う
heurter,ぶつかる
écraser,押しつぶす　車が引く
se noyer,溺れる　溺死する
secourir,救助する
secours,救助　救助隊　救援
sauvetage,救助　救命
survivre,生き残る
disparu,行方不明の
sinistré,災害に遭った
tremblement de terre,地震
inonder,洪水を起こす　水浸しにする
e'effondrer,建物が崩れる、倒れる
tempête,暴風雨　嵐
foudre,雷
incendie,火事
évacuer,避難させる
puissance,強国　大国
patrie,祖国
fonctionnaire,公務員　役人
sommet,頂上　サミット
traité,条約
réfugié,難民　亡命者
soldat,兵士　兵隊
éclater,突然起こる
vaincre,打ち破る
convaincre,納得させる
légitime,合法的な　正当な
réglement,規則
citoyen,市民
violer,違反する
défense,禁止
interdire,禁じる　禁止する
tribunal,裁判所　法廷
juge,裁判官　判事
jugement,判決　裁判
jurer,誓う
avocat,弁護士
témoin,証人　目撃者
témoigner,証言する
condamner,刑を宣告する
coupable,有罪の
procès,訴訟
processus,プロセス
accuser,告発する　告訴する　起訴する
plaignant,原告　
crime,犯罪　殺人
voler,盗む
viol,レイプ　強姦
enlever,誘拐する
harcèlement,嫌がらせ
menacer,脅迫する
otage,人質
attentat,テロ行為
piraterie,海賊行為
preuve,証拠
punir,罰する
emprisonner,投獄する
condamné,受刑者
