traire,乳を搾る
se tromper,間違える
tromper,だます
se trouver,
déverrouiller,かんぬきを外す、銃の遊底を外す
détendre,ゆるめる、緊張をほぐす
précéder,先行する
régner,君臨する、統治する
rouspéter,文句を言う、食って掛かる
tolérer,大目に見る、我慢する
ensorceler,魔法にかける、魅惑する
aboyer,犬が吠える
rayer,線を引く、筋をつける
revendre,売り払う、転売する
grossir,太る、増大する
